#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
269776	55968	23435	121014	117003	RP4-776F14.2	RP4-635E18.2	NSFL1C	TARDBP	P47|UBX1|UBXD10|UBXN2C|dJ776F14.1	ALS10|TDP-43	Two-hybrid	physical	Stelzl U (2005)	PUBMED:16169070	9606	9606	High Throughput	1.0	-	-	-	BIOGRID	Q9UNZ2	Q53FE8	NP_061327|NP_001193665|NP_057227	Q13148	A0A024R4E2|Q9H256	NP_031401	-	-	-	-	-	-	Homo sapiens	Homo sapiens
269777	64710	26289	122238	117670	JC7	-	NUCKS1	AK5	NUCKS	AK6	Two-hybrid	physical	Stelzl U (2005)	PUBMED:16169070	9606	9606	High Throughput	1.0	-	-	-	BIOGRID	Q9H1E3	-	NP_073568	Q9Y6K8	-	NP_036225|NP_777283	-	-	-	-	-	-	Homo sapiens	Homo sapiens
269778	11165	79754	116336	122865	-	-	NUDT3	ASB13	DIPP|DIPP-1|DIPP1	-	Two-hybrid	physical	Stelzl U (2005)	PUBMED:16169070	9606	9606	High Throughput	1.0	-	-	-	BIOGRID	O95989	-	NP_006694	Q8WXK3	-	NP_078977	-	-	-	-	-	-	Homo sapiens	Homo sapiens
269779	11165	64284	116336	122128	-	-	NUDT3	RAB17	DIPP|DIPP-1|DIPP1	-	Two-hybrid	physical	Stelzl U (2005)	PUBMED:16169070	9606	9606	High Throughput	1.0	-	-	-	BIOGRID	O95989	-	NP_006694	Q9H0T7	A0A024R4A4	NP_071894	-	-	-	-	-	-	Homo sapiens	Homo sapiens
269780	11164	8888	116335	114406	HSPC115	-	NUDT5	MCM3AP	YSA1|YSA1H|YSAH1|hYSAH1	GANP|MAP80|SAC3	Two-hybrid	physical	Stelzl U (2005)	PUBMED:16169070	9606	9606	High Throughput	1.0	-	-	-	BIOGRID	Q9UKK9	-	NP_001308577|NP_001308576|NP_054861	O60318	-	NP_003897	-	-	-	-	-	-	Homo sapiens	Homo sapiens
269781	23636	3550	117165	109766	-	-	NUP62	IK	IBSN|SNDI|p62	CSA2|RED	Two-hybrid	physical	Stelzl U (2005)	PUBMED:16169070	9606	9606	High Throughput	1.0	-	-	-	BIOGRID	P37198	A0A024QZF1	NP_036478|NP_057637|NP_714941|NP_714940|NP_001180286	Q13123	Q9UK43|Q95HA6	NP_006074	-	-	-	-	-	-	Homo sapiens	Homo sapiens
269782	4931	1400	110985	107790	-	-	NVL	CRMP1	-	CRMP-1|DPYSL1|DRP-1|DRP1|ULIP-3	Two-hybrid	physical	Stelzl U (2005)	PUBMED:16169070	9606	9606	High Throughput	1.0	-	-	-	BIOGRID	O15381	B4DF43	NP_001230076|NP_002524|NP_996671|NP_001230075	Q14194	E9PD68|X5DNI1|Q96I11|B3KV96|B3KT07	NP_001304|NP_001014809|NP_001275591|NP_001275590	-	-	-	-	-	-	Homo sapiens	Homo sapiens
269783	4942	54978	110996	120314	-	UNQ3047/PRO9863	OAT	SLC35F6	GACR|HOGA|OATASE|OKT	ANT2BP|C2orf18|TANGO9	Two-hybrid	physical	Stelzl U (2005)	PUBMED:16169070	9606	9606	High Throughput	1.0	-	-	-	BIOGRID	P04181	-	NP_000265|NP_001309900|NP_001309903|NP_001165285|NP_001309899|NP_001309898|NP_001309897|NP_001309896|NP_001309895|NP_001309894	Q8N357	-	NP_060347	-	-	-	-	-	-	Homo sapiens	Homo sapiens
269784	4968	1114	111018	107539	-	-	OGG1	CHGB	HMMH|HOGG1|MUTM|OGH1	SCG1	Two-hybrid	physical	Stelzl U (2005)	PUBMED:16169070	9606	9606	High Throughput	1.0	-	-	-	BIOGRID	O15527	E5KPM6|E5KPN1|E5KPM9|E5KPM5|E5KPM7|E5KPM8|E5KPN0	NP_002533|NP_058212|NP_058213|NP_058214|NP_058434|NP_058436|NP_058437|NP_058438	P05060	-	NP_001810	-	-	-	-	-	-	Homo sapiens	Homo sapiens
269785	93145	6430	125007	112328	-	-	OLFM2	SRSF5	NOE2|NOELIN2|NOELIN2_V1|OlfC	HRS|SFRS5|SRP40	Two-hybrid	physical	Stelzl U (2005)	PUBMED:16169070	9606	9606	High Throughput	1.0	-	-	-	BIOGRID	O95897	-	NP_477512	Q13243	Q86U32|A0A024R6D8	NP_001307143|NP_008856|NP_001034554	-	-	-	-	-	-	Homo sapiens	Homo sapiens
269786	93145	6767	125007	112644	-	RP3-408N23.5	OLFM2	ST13	NOE2|NOELIN2|NOELIN2_V1|OlfC	AAG2|FAM10A1|FAM10A4|HIP|HOP|HSPABP|HSPABP1|P48|PRO0786|SNC6	Two-hybrid	physical	Stelzl U (2005)	PUBMED:16169070	9606	9606	High Throughput	1.0	-	-	-	BIOGRID	O95897	-	NP_477512	P50502	Q0IJ56|B4E0U6	NP_003923|NP_001265518	-	-	-	-	-	-	Homo sapiens	Homo sapiens
269787	94103	1915	125114	108237	-	RP11-505P4.2	ORMDL3	EEF1A1	-	CCS-3|CCS3|EE1A1|EEF-1|EEF1A|EF-Tu|EF1A|GRAF-1EF|HNGC:16303|LENG7|PTI1|eEF1A-1	Two-hybrid	physical	Stelzl U (2005)	PUBMED:16169070	9606	9606	High Throughput	1.0	-	-	-	BIOGRID	Q8N138	A0A024R1W6	NP_001307730|NP_001307731|NP_001307732|NP_644809	P68104	Q6IPS9	NP_001393	-	-	-	-	-	-	Homo sapiens	Homo sapiens
269788	83638	6457	123702	112354	-	-	C11orf68	SH3GL3	BLES03|P5326	CNSA3|EEN-B2|HsT19371|SH3D2C|SH3P13	Two-hybrid	physical	Stelzl U (2005)	PUBMED:16169070	9606	9606	High Throughput	1.0	-	-	-	BIOGRID	Q9H3H3	-	NP_113638|NP_001129107	Q99963	A0A024R215	NP_001288037|NP_001288038|NP_001311116|NP_001311115|NP_001311114|NP_001311113|NP_001311112|NP_001311111|NP_003018	-	-	-	-	-	-	Homo sapiens	Homo sapiens
269789	29993	11143	119018	116315	RP11-375E1__A.1	-	PACSIN1	KAT7	SDPI	HBO1|HBOA|MYST2|ZC2HC7	Two-hybrid	physical	Stelzl U (2005)	PUBMED:16169070	9606	9606	High Throughput	1.0	-	-	-	BIOGRID	Q9BY11	Q5TZC3	NP_065855|NP_001186512	O95251	-	NP_001186087|NP_001186086|NP_001186085|NP_001186084|NP_001333635|NP_008998	-	-	-	-	-	-	Homo sapiens	Homo sapiens
269790	5049	22985	111086	116634	-	-	PAFAH1B2	ACIN1	HEL-S-303	ACINUS|ACN|fSAP152	Two-hybrid	physical	Stelzl U (2005)	PUBMED:16169070	9606	9606	High Throughput	1.0	-	-	-	BIOGRID	P68402	V9HW44	NP_001171676|NP_001171677|NP_001171675|NP_001296360|NP_002563	Q9UKV3	B4DQZ7	NP_001373792|NP_001158286|NP_001158287|NP_055792|NP_001158288|NP_001158289	-	-	-	-	-	-	Homo sapiens	Homo sapiens
269791	5049	7203	111086	113054	-	RP11-443G18.6	PAFAH1B2	CCT3	HEL-S-303	CCT-gamma|CCTG|PIG48|TCP-1-gamma|TRIC5	Two-hybrid	physical	Stelzl U (2005)	PUBMED:16169070	9606	9606	High Throughput	1.0	-	-	-	BIOGRID	P68402	V9HW44	NP_001171676|NP_001171677|NP_001171675|NP_001296360|NP_002563	P49368	B3KX11|Q59H77	NP_005989|NP_001008800	-	-	-	-	-	-	Homo sapiens	Homo sapiens
269792	5049	54984	111086	120319	-	-	PAFAH1B2	PINX1	HEL-S-303	LPTL|LPTS	Two-hybrid	physical	Stelzl U (2005)	PUBMED:16169070	9606	9606	High Throughput	1.0	-	-	-	BIOGRID	P68402	V9HW44	NP_001171676|NP_001171677|NP_001171675|NP_001296360|NP_002563	Q96BK5	-	NP_001271285|NP_060354	-	-	-	-	-	-	Homo sapiens	Homo sapiens
269793	5049	54776	111086	120144	-	-	PAFAH1B2	PPP1R12C	HEL-S-303	LENG3|MBS85|p84|p85	Two-hybrid	physical	Stelzl U (2005)	PUBMED:16169070	9606	9606	High Throughput	1.0	-	-	-	BIOGRID	P68402	V9HW44	NP_001171676|NP_001171677|NP_001171675|NP_001296360|NP_002563	Q9BZL4	-	NP_060077|NP_001258547	-	-	-	-	-	-	Homo sapiens	Homo sapiens
269794	5049	57455	111086	121526	-	-	PAFAH1B2	REXO1	HEL-S-303	ELOABP1|EloA-BP1|REX1|TCEB3BP1	Two-hybrid	physical	Stelzl U (2005)	PUBMED:16169070	9606	9606	High Throughput	1.0	-	-	-	BIOGRID	P68402	V9HW44	NP_001171676|NP_001171677|NP_001171675|NP_001296360|NP_002563	Q8N1G1	-	NP_065746	-	-	-	-	-	-	Homo sapiens	Homo sapiens
269795	5049	92609	111086	124961	-	PRO1512	PAFAH1B2	TIMM50	HEL-S-303	TIM50|TIM50L	Two-hybrid	physical	Stelzl U (2005)	PUBMED:16169070	9606	9606	High Throughput	1.0	-	-	-	BIOGRID	P68402	V9HW44	NP_001171676|NP_001171677|NP_001171675|NP_001296360|NP_002563	Q3ZCQ8	A0A024R0M6	NP_001316488|NP_001001563	-	-	-	-	-	-	Homo sapiens	Homo sapiens
269796	5049	677	111086	107144	-	-	PAFAH1B2	ZFP36L1	HEL-S-303	BRF1|Berg36|ERF-1|ERF1|RNF162B|TIS11B|cMG1	Two-hybrid	physical	Stelzl U (2005)	PUBMED:16169070	9606	9606	High Throughput	1.0	-	-	-	BIOGRID	P68402	V9HW44	NP_001171676|NP_001171677|NP_001171675|NP_001296360|NP_002563	Q07352	A0A024R658|B3KNA8	NP_004917|NP_001231630|NP_001231627	-	-	-	-	-	-	Homo sapiens	Homo sapiens
269797	26135	5349	117571	111364	CGI-55	-	SERBP1	FXYD3	CHD3IP|HABP4L|PAI-RBP1|PAIRBP1	MAT8|PLML	Two-hybrid	physical	Stelzl U (2005)	PUBMED:16169070	9606	9606	High Throughput	1.0	-	-	-	BIOGRID	Q8NC51	Q5VU21|Q63HR1	NP_001018077|NP_056455|NP_001018078|NP_001018079	Q14802	-	NP_005962|NP_001129484|NP_068710|NP_001129479|NP_001129480|NP_001129481|NP_001129482|NP_001129483	-	-	-	-	-	-	Homo sapiens	Homo sapiens
269798	5071	5879	111105	111817	KB-152G3.1	MIG5	PARK2	RAC1	AR-JP|LPRS2|PDJ|PRKN	Rac-1|TC-25|p21-Rac1	Two-hybrid	physical	Stelzl U (2005)	PUBMED:16169070	9606	9606	High Throughput	1.0	-	-	-	BIOGRID	O60260	X5DR79	NP_054643|NP_054642|NP_004553	P63000	A4D2P1|A4D2P0	NP_008839|NP_061485	-	-	-	-	-	-	Homo sapiens	Homo sapiens
269799	5071	5810	111105	111771	KB-152G3.1	-	PARK2	RAD1	AR-JP|LPRS2|PDJ|PRKN	HRAD1|REC1	Two-hybrid	physical	Stelzl U (2005)	PUBMED:16169070	9606	9606	High Throughput	1.0	-	-	-	BIOGRID	O60260	X5DR79	NP_054643|NP_054642|NP_004553	O60671	A0A024R045	NP_002844	-	-	-	-	-	-	Homo sapiens	Homo sapiens
269800	5110	1107	111141	107532	-	-	PCMT1	CHD3	PIMT	Mi-2a|Mi2-ALPHA|ZFH	Two-hybrid	physical	Stelzl U (2005)	PUBMED:16169070	9606	9606	High Throughput	1.0	-	-	-	BIOGRID	P22061	F6S8N6|B7Z972|H7BY58	NP_001347385|NP_005380|NP_001238979|NP_001238978|NP_001347381|NP_001238982|NP_001238980|NP_001238981	Q12873	B3KWV4|Q2TAZ1	NP_005843|NP_001005273|NP_001005271	-	-	-	-	-	-	Homo sapiens	Homo sapiens
269801	5195	112950	111218	125219	-	RP1-92O14.5	PEX14	MED8	NAPP2|PBD13A|Pex14p|dJ734G22.2	ARC32	Two-hybrid	physical	Stelzl U (2005)	PUBMED:16169070	9606	9606	High Throughput	1.0	-	-	-	BIOGRID	O75381	-	NP_004556	Q96G25	-	NP_443109|NP_001001653|NP_963836	-	-	-	-	-	-	Homo sapiens	Homo sapiens
269802	5195	11244	111218	116406	-	-	PEX14	ZHX1	NAPP2|PBD13A|Pex14p|dJ734G22.2	-	Two-hybrid	physical	Stelzl U (2005)	PUBMED:16169070	9606	9606	High Throughput	1.0	-	-	-	BIOGRID	O75381	-	NP_004556	Q9UKY1	A0A024R9F1	NP_009153|NP_001017926	-	-	-	-	-	-	Homo sapiens	Homo sapiens
269803	5223	2547	111244	108822	RP11-452K12.8	CTA-216E10.7	PGAM1	XRCC6	HEL-S-35|PGAM-B|PGAMA	CTC75|CTCBF|G22P1|KU70|ML8|TLAA	Two-hybrid	physical	Stelzl U (2005)	PUBMED:16169070	9606	9606	High Throughput	1.0	-	-	-	BIOGRID	P18669	Q6FHU2	NP_002620|NP_001304008	P12956	B1AHC9|A0A024R1N4|B4DE32|B4E356	NP_001460|NP_001275905|NP_001275907|NP_001275906	-	-	-	-	-	-	Homo sapiens	Homo sapiens
269804	1912	10939	108234	116139	-	-	PHC2	AFG3L2	EDR2|HPH2|PH2	SCA28|SPAX5	Two-hybrid	physical	Stelzl U (2005)	PUBMED:16169070	9606	9606	High Throughput	1.0	-	-	-	BIOGRID	Q8IXK0	-	NP_932157|NP_001372048|NP_001372049|NP_001372051|NP_001372050|NP_001372052|NP_001372041|NP_001372038|NP_001317417|NP_004418	Q9Y4W6	Q8TA92	NP_006787	-	-	-	-	-	-	Homo sapiens	Homo sapiens
269805	1912	55108	108234	120418	-	RP4-811H24.7	PHC2	BSDC1	EDR2|HPH2|PH2	-	Two-hybrid	physical	Stelzl U (2005)	PUBMED:16169070	9606	9606	High Throughput	1.0	-	-	-	BIOGRID	Q8IXK0	-	NP_932157|NP_001372048|NP_001372049|NP_001372051|NP_001372050|NP_001372052|NP_001372041|NP_001372038|NP_001317417|NP_004418	Q9NW68	-	NP_001137362|NP_060515|NP_001137360|NP_001137361|NP_001287887	-	-	-	-	-	-	Homo sapiens	Homo sapiens
269806	1912	6129	108234	112049	-	-	PHC2	RPL7	EDR2|HPH2|PH2	L7|humL7-1	Two-hybrid	physical	Stelzl U (2005)	PUBMED:16169070	9606	9606	High Throughput	1.0	-	-	-	BIOGRID	Q8IXK0	-	NP_932157|NP_001372048|NP_001372049|NP_001372051|NP_001372050|NP_001372052|NP_001372041|NP_001372038|NP_001317417|NP_004418	P18124	A8MUD9	NP_000962|NP_001350666	-	-	-	-	-	-	Homo sapiens	Homo sapiens
269807	55274	333	120562	106830	RP11-160E12.5	-	PHF10	APLP1	BAF45A|XAP135	APLP	Two-hybrid	physical	Stelzl U (2005)	PUBMED:16169070	9606	9606	High Throughput	1.0	-	-	-	BIOGRID	Q8WUB8	-	NP_060758|NP_579866	P51693	-	NP_001019978|NP_005157	-	-	-	-	-	-	Homo sapiens	Homo sapiens
269808	5264	10040	111282	115352	RP11-24J20.1	-	PHYH	TOM1L1	LN1|LNAP1|PAHX|PHYH1|RD	OK/KNS-CL.3|SRCASM	Two-hybrid	physical	Stelzl U (2005)	PUBMED:16169070	9606	9606	High Throughput	1.0	-	-	-	BIOGRID	O14832	-	NP_006205|NP_001310009|NP_001310011|NP_001032626|NP_001310013|NP_001310012	O75674	B7Z9E2	NP_001308102|NP_001308103|NP_005477|NP_001308104|NP_001308105	-	-	-	-	-	-	Homo sapiens	Homo sapiens
269809	9796	79885	115139	122970	-	-	PHYHIP	HDAC11	DYRK1AP3|PAHX-AP|PAHXAP1	HD11	Two-hybrid	physical	Stelzl U (2005)	PUBMED:16169070	9606	9606	High Throughput	1.0	-	-	-	BIOGRID	Q92561	-	NP_001092805|NP_001350240|NP_055574|NP_001350241	Q96DB2	A0A024R2I1|E7ETT9|B5MCQ6	NP_001129513|NP_079103|NP_001317565	-	-	-	-	-	-	Homo sapiens	Homo sapiens
269810	9796	112840	115139	125208	-	MSTP050	PHYHIP	WDR89	DYRK1AP3|PAHX-AP|PAHXAP1	C14orf150	Two-hybrid	physical	Stelzl U (2005)	PUBMED:16169070	9606	9606	High Throughput	1.0	-	-	-	BIOGRID	Q92561	-	NP_001092805|NP_001350240|NP_055574|NP_001350241	Q96FK6	A0A024R667	NP_001245201|NP_001008726|NP_542397	-	-	-	-	-	-	Homo sapiens	Homo sapiens
269811	9796	81557	115139	123521	-	RP11-363G10.1	PHYHIP	MAGED4B	DYRK1AP3|PAHX-AP|PAHXAP1	-	Two-hybrid	physical	Stelzl U (2005)	PUBMED:16169070	9606	9606	High Throughput	1.0	-	-	-	BIOGRID	Q92561	-	NP_001092805|NP_001350240|NP_055574|NP_001350241	Q96JG8	A0A024R2A8	NP_803881|NP_110428|NP_803879|NP_001229291	-	-	-	-	-	-	Homo sapiens	Homo sapiens
269812	9796	131408	115139	126280	-	UNQ715	PHYHIP	FAM131A	DYRK1AP3|PAHX-AP|PAHXAP1	C3orf40|FLAT715|PRO1378	Two-hybrid	physical	Stelzl U (2005)	PUBMED:16169070	9606	9606	High Throughput	1.0	-	-	-	BIOGRID	Q92561	-	NP_001092805|NP_001350240|NP_055574|NP_001350241	Q6UXB0	-	NP_001164564|NP_653236	-	-	-	-	-	-	Homo sapiens	Homo sapiens
269813	9796	92342	115139	124936	-	RP1-117P20.4	PHYHIP	METTL18	DYRK1AP3|PAHX-AP|PAHXAP1	AsTP2|C1orf156|HPM1	Two-hybrid	physical	Stelzl U (2005)	PUBMED:16169070	9606	9606	High Throughput	1.0	-	-	-	BIOGRID	Q92561	-	NP_001092805|NP_001350240|NP_055574|NP_001350241	O95568	A0A024R8Y7	NP_001307128|NP_219486|NP_001307130	-	-	-	-	-	-	Homo sapiens	Homo sapiens
269814	9796	4731	115139	110809	-	-	PHYHIP	NDUFV3	DYRK1AP3|PAHX-AP|PAHXAP1	CI-10k|CI-9KD	Two-hybrid	physical	Stelzl U (2005)	PUBMED:16169070	9606	9606	High Throughput	1.0	-	-	-	BIOGRID	Q92561	-	NP_001092805|NP_001350240|NP_055574|NP_001350241	P56181	-	NP_066553|NP_001001503	-	-	-	-	-	-	Homo sapiens	Homo sapiens
269815	9796	10450	115139	115714	-	RP1-118J21.1	PHYHIP	PPIE	DYRK1AP3|PAHX-AP|PAHXAP1	CYP-33|CYP33	Two-hybrid	physical	Stelzl U (2005)	PUBMED:16169070	9606	9606	High Throughput	1.0	-	-	-	BIOGRID	Q92561	-	NP_001092805|NP_001350240|NP_055574|NP_001350241	Q9UNP9	-	NP_006103|NP_982281|NP_001181936|NP_001306222	-	-	-	-	-	-	Homo sapiens	Homo sapiens
269816	9796	6284	115139	112192	-	-	PHYHIP	S100A13	DYRK1AP3|PAHX-AP|PAHXAP1	-	Two-hybrid	physical	Stelzl U (2005)	PUBMED:16169070	9606	9606	High Throughput	1.0	-	-	-	BIOGRID	Q92561	-	NP_001092805|NP_001350240|NP_055574|NP_001350241	Q99584	-	NP_005970|NP_001019383|NP_001019382|NP_001019381|NP_001019384	-	-	-	-	-	-	Homo sapiens	Homo sapiens
269817	9796	10419	115139	115688	-	-	PHYHIP	PRMT5	DYRK1AP3|PAHX-AP|PAHXAP1	HRMT1L5|IBP72|JBP1|SKB1|SKB1Hs	Two-hybrid	physical	Stelzl U (2005)	PUBMED:16169070	9606	9606	High Throughput	1.0	-	-	-	BIOGRID	Q92561	-	NP_001092805|NP_001350240|NP_055574|NP_001350241	O14744	B4DV00	NP_001034708|NP_001269883|NP_001269882|NP_001269885|NP_001269884|NP_006100	-	-	-	-	-	-	Homo sapiens	Homo sapiens
269818	9796	6601	115139	112485	-	-	PHYHIP	SMARCC2	DYRK1AP3|PAHX-AP|PAHXAP1	BAF170|CRACC2|Rsc8	Two-hybrid	physical	Stelzl U (2005)	PUBMED:16169070	9606	9606	High Throughput	1.0	-	-	-	BIOGRID	Q92561	-	NP_001092805|NP_001350240|NP_055574|NP_001350241	Q8TAQ2	F8VXC8|A0A024RB22	NP_001317217|NP_001123892|NP_003066|NP_620706	-	-	-	-	-	-	Homo sapiens	Homo sapiens
269819	9796	23140	115139	116757	-	-	PHYHIP	ZZEF1	DYRK1AP3|PAHX-AP|PAHXAP1	ZZZ4	Two-hybrid	physical	Stelzl U (2005)	PUBMED:16169070	9606	9606	High Throughput	1.0	-	-	-	BIOGRID	Q92561	-	NP_001092805|NP_001350240|NP_055574|NP_001350241	O43149	-	NP_055928	-	-	-	-	-	-	Homo sapiens	Homo sapiens
269820	5279	11244	111297	116406	-	-	PIGC	ZHX1	GPI2	-	Two-hybrid	physical	Stelzl U (2005)	PUBMED:16169070	9606	9606	High Throughput	1.0	-	-	-	BIOGRID	Q92535	-	NP_714969|NP_002633	Q9UKY1	A0A024R9F1	NP_009153|NP_001017926	-	-	-	-	-	-	Homo sapiens	Homo sapiens
269821	23761	54505	117262	120001	RP5-858B16.2	-	PISD	DHX29	DJ858B16|PSD|PSDC|PSSC|dJ858B16.2	DDX29	Two-hybrid	physical	Stelzl U (2005)	PUBMED:16169070	9606	9606	High Throughput	1.0	-	-	-	BIOGRID	Q9UG56	A0A024R1K5	NP_055153|NP_001313340|NP_001313341|NP_001313342|NP_001313343|NP_001313344|NP_001313345|NP_001313346|NP_001313347|NP_001313348|NP_001313349|NP_821141	Q7Z478	-	NP_001332893|NP_001332894|NP_061903	-	-	-	-	-	-	Homo sapiens	Homo sapiens
269822	23761	221955	117262	128772	RP5-858B16.2	tcag7.842	PISD	DAGLB	DJ858B16|PSD|PSDC|PSSC|dJ858B16.2	DAGLBETA|KCCR13L	Two-hybrid	physical	Stelzl U (2005)	PUBMED:16169070	9606	9606	High Throughput	1.0	-	-	-	BIOGRID	Q9UG56	A0A024R1K5	NP_055153|NP_001313340|NP_001313341|NP_001313342|NP_001313343|NP_001313344|NP_001313345|NP_001313346|NP_001313347|NP_001313348|NP_001313349|NP_821141	Q8NCG7	-	NP_631918|NP_001136408	-	-	-	-	-	-	Homo sapiens	Homo sapiens
269823	51196	4893	119370	110952	RP11-76P2.1	RP5-1000E10.2	PLCE1	NRAS	NPHS3|PLCE|PPLC	ALPS4|CMNS|N-ras|NCMS|NRAS1|NS6	Two-hybrid	physical	Stelzl U (2005)	PUBMED:16169070	9606	9606	High Throughput	1.0	-	-	-	BIOGRID	Q9P212	B7ZM61	NP_057425|NP_001159451|NP_001275918	P01111	Q5U091	NP_002515	-	-	-	-	-	-	Homo sapiens	Homo sapiens
269824	5355	8518	111369	114090	-	RP11-3J11.4	PLP2	IKBKAP	A4|A4LSB	DYS|ELP1|FD|IKAP|IKI3|TOT1	Two-hybrid	physical	Stelzl U (2005)	PUBMED:16169070	9606	9606	High Throughput	1.0	-	-	-	BIOGRID	Q04941	A0A024QYW3	NP_002659	O95163	Q8N516	NP_001317678|NP_003631|NP_001305289	-	-	-	-	-	-	Homo sapiens	Homo sapiens
269825	23654	5764	117178	111731	RP3-402G11.19-002	-	PLXNB2	PTN	MM1|Nbla00445|PLEXB2|dJ402G11.3	HARP|HBGF8|HBNF|NEGF1	Two-hybrid	physical	Stelzl U (2005)	PUBMED:16169070	9606	9606	High Throughput	1.0	-	-	-	BIOGRID	O15031	-	NP_001363815|NP_001363814|NP_001363813|NP_001363812|NP_001363811|NP_001363810|NP_036533|NP_001363804|NP_001363805|NP_001363806|NP_001363807|NP_001363800|NP_001363801|NP_001363802|NP_001363803|NP_001363808|NP_001363809|NP_001363798|NP_001363799|NP_001363793|NP_001363794|NP_001363795|NP_001363796|NP_001363797	P21246	A0A024R778	NP_002816	-	-	-	-	-	-	Homo sapiens	Homo sapiens
269826	5366	7704	111379	113498	-	-	PMAIP1	ZBTB16	APR|NOXA	PLZF|ZNF145	Two-hybrid	physical	Stelzl U (2005)	PUBMED:16169070	9606	9606	High Throughput	1.0	-	-	-	BIOGRID	Q13794	-	NP_066950|NP_001369544	Q05516	A0A024R3C6	NP_001018011|NP_005997	-	-	-	-	-	-	Homo sapiens	Homo sapiens
269827	11243	2661	116405	108930	RP11-54H19.4	-	PMF1	GDF9	-	-	Two-hybrid	physical	Stelzl U (2005)	PUBMED:16169070	9606	9606	High Throughput	1.0	-	-	-	BIOGRID	Q6P1K2	-	NP_001186582|NP_001186583|NP_009152	O60383	B4DXG3	NP_001275753|NP_001275754|NP_001275755|NP_001275756|NP_001275757|NP_005251	-	-	-	-	-	-	Homo sapiens	Homo sapiens
269828	11243	57562	116405	121617	RP11-54H19.4	-	PMF1	KIAA1377	-	-	Two-hybrid	physical	Stelzl U (2005)	PUBMED:16169070	9606	9606	High Throughput	1.0	-	-	-	BIOGRID	Q6P1K2	-	NP_001186582|NP_001186583|NP_009152	Q9P2H0	-	NP_065853	-	-	-	-	-	-	Homo sapiens	Homo sapiens
269829	10621	112840	115866	125208	-	MSTP050	POLR3F	WDR89	RPC39|RPC6	C14orf150	Two-hybrid	physical	Stelzl U (2005)	PUBMED:16169070	9606	9606	High Throughput	1.0	-	-	-	BIOGRID	Q9H1D9	Q05DB8	NP_006457|NP_001269455	Q96FK6	A0A024R667	NP_001245201|NP_001008726|NP_542397	-	-	-	-	-	-	Homo sapiens	Homo sapiens
269830	10621	8899	115866	114416	-	RP5-1013A10.2	POLR3F	PRPF4B	RPC39|RPC6	PR4H|PRP4|PRP4H|PRP4K|dJ1013A10.1	Two-hybrid	physical	Stelzl U (2005)	PUBMED:16169070	9606	9606	High Throughput	1.0	-	-	-	BIOGRID	Q9H1D9	Q05DB8	NP_006457|NP_001269455	Q13523	A0A024QZY5	NP_003904	-	-	-	-	-	-	Homo sapiens	Homo sapiens
269831	8612	7917	114170	113647	-	DADB-70P7.10-021	PPAP2C	BAG6	LPP2|PAP-2c|PAP2-g	BAG-6|BAT3|D6S52E|G3	Two-hybrid	physical	Stelzl U (2005)	PUBMED:16169070	9606	9606	High Throughput	1.0	-	-	-	BIOGRID	O43688	-	NP_808211|NP_003703|NP_803545	P46379	-	NP_001092004|NP_004630|NP_542434|NP_001186627|NP_001186626|NP_542433	-	-	-	-	-	-	Homo sapiens	Homo sapiens
269832	8612	9094	114170	114548	-	-	PPAP2C	UNC119	LPP2|PAP-2c|PAP2-g	HRG4|IMD13|POC7|POC7A	Two-hybrid	physical	Stelzl U (2005)	PUBMED:16169070	9606	9606	High Throughput	1.0	-	-	-	BIOGRID	O43688	-	NP_808211|NP_003703|NP_803545	Q13432	-	NP_473376|NP_005139	-	-	-	-	-	-	Homo sapiens	Homo sapiens
269833	84988	64403	124414	122158	-	UNQ2834/PRO34009	PPP1R16A	CDH24	MYPT3	CDH11L	Two-hybrid	physical	Stelzl U (2005)	PUBMED:16169070	9606	9606	High Throughput	1.0	-	-	-	BIOGRID	Q96I34	-	NP_116291	Q86UP0	-	NP_659422|NP_071923	-	-	-	-	-	-	Homo sapiens	Homo sapiens
269834	84988	55661	124414	120793	-	HSPC259	PPP1R16A	DDX27	MYPT3	DRS1|Drs1p|PP3241|RHLP|dJ686N3.1	Two-hybrid	physical	Stelzl U (2005)	PUBMED:16169070	9606	9606	High Throughput	1.0	-	-	-	BIOGRID	Q96I34	-	NP_116291	Q96GQ7	-	NP_060365|NP_001335116	-	-	-	-	-	-	Homo sapiens	Homo sapiens
